date,p_model,p_pin,psw_bet,y_bet,market_edge,winner_name,loser_name,surface,kelly_stake_pct
2024-02-05,0.36943006907564546,0.30718954248366015,3.18,0,0.06224052659198531,Tommy Paul,Dominik Koepfer,Hard,2.5
2024-02-05,0.7120143445953758,0.3783132530120481,2.58,0,0.3337010915833277,Tommy Paul,Marcos Giron,Hard,2.5
2024-02-05,0.6637373718471385,0.48849104859335035,2.0,0,0.1752463232537882,Marcos Giron,Adrian Mannarino,Hard,2.5
2024-02-05,0.5624336240363541,0.2884210526315789,3.38,0,0.2740125714047752,Karen Khachanov,Zhizhen Zhang,Hard,2.5
2024-02-05,0.9776222536842271,0.7076271186440679,1.38,1,0.26999513504015915,Hubert Hurkacz,Tomas Machac,Hard,2.5
2024-02-05,0.8577048594515804,0.8067092651757188,1.21,1,0.05099559427586153,Grigor Dimitrov,Arthur Rinderknech,Hard,2.5
2024-02-05,0.9223961133633019,0.6431924882629109,1.52,1,0.279203625100391,Grigor Dimitrov,Karen Khachanov,Hard,2.5
2024-02-05,0.4689470673036652,0.40640394088669946,2.41,1,0.06254312641696574,Ugo Humbert,Grigor Dimitrov,Hard,2.5
2024-02-05,0.8647241885544023,0.5547073791348601,1.75,1,0.3100168094195421,Luciano Darderi,Yannick Hanfmann,Clay,2.5
2024-02-05,0.5970521146826414,0.38834951456310673,2.52,0,0.20870260011953468,Luciano Darderi,Facundo Bagnis,Clay,2.5
2024-02-12,0.7232440381542902,0.31707317073170727,3.08,0,0.4061708674225829,Taylor Fritz,Marcos Giron,Hard,2.5
2024-02-12,0.8573533669282463,0.42606516290726815,2.29,1,0.4312882040209781,Luciano Darderi,Mariano Navone,Clay,2.5
2024-02-12,0.29476670772497976,0.1531291611185086,6.36,0,0.14163754660647115,Taylor Fritz,Rinky Hijikata,Hard,2.5
2024-02-12,0.9828279480629067,0.7547528517110266,1.29,1,0.22807509635188017,Marcos Giron,Patrick Kypson,Hard,2.5
2024-02-12,0.9367780709777983,0.4782608695652174,2.04,1,0.4585172014125809,Tallon Griekspoor,Emil Ruusuvuori,Hard,2.5
2024-02-12,0.9403069384833251,0.8749999999999999,1.12,1,0.06530693848332525,Jannik Sinner,Milos Raonic,Hard,2.5
2024-02-12,0.46729565694432945,0.14214463840399005,6.88,0,0.3251510185403394,Jannik Sinner,Tallon Griekspoor,Hard,2.5
2024-02-12,0.5033764015726544,0.4332493702770781,2.25,1,0.07012703129557629,Nicolas Jarry,Tomas Martin Etcheverry,Clay,2.5
2024-02-12,0.686092755970251,0.15251989389920423,6.39,1,0.5335728620710467,Nicolas Jarry,Carlos Alcaraz,Clay,2.5
2024-02-19,0.7396312531932121,0.42000000000000004,2.32,0,0.31963125319321206,Karen Khachanov,Emil Ruusuvuori,Hard,2.5
2024-02-19,0.42403186942728904,0.3214285714285714,3.04,0,0.10260329799871765,Karen Khachanov,Jakub Mensik,Hard,2.5
2024-02-19,0.8740016524679537,0.6719457013574661,1.45,1,0.20205595111048757,Karen Khachanov,Alexei Popyrin,Hard,2.5
2024-02-19,0.8180483778718365,0.6885964912280702,1.42,1,0.12945188664376628,Sebastian Baez,Mariano Navone,Clay,2.5
2024-02-19,0.32355264502941844,0.1409147095179234,6.95,0,0.18263793551149504,Stefanos Tsitsipas,Aleksandar Kovacevic,Hard,2.5
2024-02-19,0.6674920003722736,0.2942430703624732,3.31,0,0.3732489300098004,Casper Ruud,Nuno Borges,Hard,2.5
2024-02-19,0.95222928128348,0.6976241900647947,1.4,1,0.25460509121868524,Sebastian Baez,Thiago Monteiro,Clay,2.5
2024-02-19,0.9045383509187523,0.2939914163090129,3.29,1,0.6105469346097394,Jordan Thompson,Casper Ruud,Hard,2.5
