date,p_model,p_pin,psw_bet,y_bet,market_edge,winner_name,loser_name,surface,kelly_stake_pct
2024-01-01,0.4293443470668902,0.3017241379310345,3.24,0,0.1276202091358557,Alexander Zverev,Stefanos Tsitsipas,Hard,2.5
2024-01-01,0.6277165812423913,0.5191815856777493,1.88,0,0.10853499556464197,Grigor Dimitrov,Holger Rune,Hard,2.5
2024-01-01,0.6632662788395915,0.5985221674876848,1.63,1,0.06474411135190672,Holger Rune,Roman Safiullin,Hard,2.5
2024-01-01,0.8269343528246739,0.7355864811133201,1.33,0,0.09134787171135372,Juncheng Shang,Frances Tiafoe,Hard,2.5
2024-01-01,0.3892610404166582,0.2624254473161034,3.71,0,0.1268355931005548,Andrey Rublev,Arthur Fils,Hard,2.5
2024-01-01,0.3479523526232307,0.16954022988505735,5.78,0,0.17841212273817336,Andrey Rublev,Juncheng Shang,Hard,2.5
2024-01-01,0.6799630007783809,0.5960591133004925,1.64,1,0.08390388747788835,Emil Ruusuvuori,Pavel Kotov,Hard,2.5
2024-01-08,0.5637349549496942,0.5089514066496165,1.92,0,0.0547835483000777,Alexander Bublik,Lorenzo Musetti,Hard,2.5
2024-01-08,0.31304185077726754,0.25486381322957197,3.83,0,0.05817803754769557,Arthur Fils,Daniel Altmaier,Hard,2.5
2024-01-15,0.31563667777676174,0.1784107946026986,5.48,0,0.13722588317406315,Alex Michelsen,James McCabe,Hard,2.5
2024-01-15,0.23914309341177073,0.1552878179384204,6.31,0,0.08385527547335034,Tommy Paul,Gregoire Barrere,Hard,2.5
2024-01-15,0.6729331538919008,0.582089552238806,1.68,1,0.0908436016530948,Jan-Lennard Struff,Rinky Hijikata,Hard,2.5
2024-01-15,0.2387635592097928,0.0825617283950617,11.89,0,0.1562018308147311,Alexander Zverev,Dominik Koepfer,Hard,2.5
2024-01-15,0.6671224137327817,0.5280612244897959,1.85,1,0.13906118924298583,Lorenzo Sonego,Daniel Evans,Hard,2.5
2024-01-15,0.29148158676806474,0.21701388888888884,4.51,0,0.0744676978791759,Jack Draper,Marcos Giron,Hard,2.5
2024-01-15,0.20607271272831376,0.04686078252957249,20.95,0,0.15921193019874127,Hubert Hurkacz,Omar Jasika,Hard,2.5
2024-01-15,0.30078093789636046,0.12486064659977703,7.85,0,0.17592029129658343,Emil Ruusuvuori,Patrick Kypson,Hard,2.5
2024-01-15,0.23054873718293556,0.11623036649214658,8.44,0,0.11431837069078898,Arthur Fils,Jiri Vesely,Hard,2.5
2024-01-15,0.5799793987217167,0.5115089514066495,1.91,0,0.06847044731506713,Arthur Cazaux,Laslo Djere,Hard,2.5
2024-01-15,0.7569841158588531,0.6934782608695652,1.41,0,0.06350585498928785,Hugo Grenier,Alexandre Muller,Hard,2.5
2024-01-15,0.3049825787532455,0.18808777429467083,5.18,0,0.1168948044585747,Alexei Popyrin,Marc Polmans,Hard,2.5
2024-01-15,0.38712928584761763,0.3114035087719298,3.14,0,0.07572577707568784,Daniil Medvedev,Hubert Hurkacz,Hard,2.5
2024-01-15,0.39842000307849873,0.266,3.67,0,0.13242000307849872,Jannik Sinner,Daniil Medvedev,Hard,2.5
2024-01-15,0.3083726476309887,0.20132013201320131,4.84,0,0.10705251561778739,Matteo Arnaldi,Adam Walton,Hard,2.5
2024-01-15,0.4345747826727668,0.36170212765957444,2.7,0,0.07287265501319234,Gael Monfils,Yannick Hanfmann,Hard,2.5
2024-01-15,0.7466803067399441,0.6815144766146993,1.43,0,0.0651658301252448,Jaume Munar,Alexander Shevchenko,Hard,2.5
2024-01-15,0.8140521234277972,0.5544303797468354,1.76,1,0.2596217436809618,Fabian Marozsan,Marin Cilic,Hard,2.5
2024-01-15,0.6625879948406587,0.6097560975609755,1.6,0,0.05283189727968318,Aleksandar Kovacevic,Alejandro Tabilo,Hard,2.5
2024-01-15,0.818560636508669,0.6963123644251628,1.4,1,0.1222482720835062,Francisco Cerundolo,Dane Sweeny,Hard,2.5
2024-01-15,0.24675629991301462,0.09121621621621623,10.76,0,0.1555400836967984,Sebastian Korda,Vit Kopriva,Hard,2.5
2024-01-29,0.3018983928919748,0.22702702702702704,4.29,0,0.07487136586494775,Felix Auger-Aliassime,Harold Mayot,Hard,2.5
2024-01-29,0.7112495298966475,0.6440281030444965,1.52,0,0.06722142685215093,Borna Coric,Holger Rune,Hard,2.5
2024-01-29,0.6832292216538358,0.6267942583732058,1.56,0,0.056434963280630024,Alexander Bublik,Felix Auger-Aliassime,Hard,2.5
2024-02-05,0.7299179208657923,0.647196261682243,1.51,1,0.08272165918354935,Adrian Mannarino,James Duckworth,Hard,2.5
2024-02-05,0.7391203955602554,0.5975308641975308,1.63,0,0.14158953136272467,Facundo Bagnis,Jaume Munar,Clay,2.5
2024-02-05,0.7321551009907715,0.665909090909091,1.47,0,0.06624601008168052,Luciano Darderi,Sebastian Baez,Clay,2.5
