tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,year,wl,ll,rnd,_yr,Tournament,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL,pin_prob_w,pin_prob_l,b365_prob_w,max_prob_w,avg_prob_w,odds_consensus_w,pin_log_odds,b365_log_odds
2004-891,Chennai,Hard,32.0,250,O,2004-01-05,27.0,R419,4.0,,Tommy Robredo,R,180.0,ESP,21.681,21.0,1295.0,L386,,,Jean-Rene Lisnard,R,173.0,MON,24.279,97.0,397.0,6-4 7-6(2),3,QF,95.0,1.0,3.0,69.0,44.0,34.0,8.0,11.0,2.0,6.0,2.0,6.0,92.0,44.0,29.0,17.0,11.0,13.0,18.0,2004,robredo,lisnard,QF,2004,TATA Open,1.4,2.75,1.37,3.3,,,,,,,0.7066381156316917,0.2933618843683084,0.6626506024096386,,,,-0.8791117286324008,-0.6751286750572671
2004-891,Chennai,Hard,32.0,250,O,2004-01-05,26.0,S572,3.0,,Sjeng Schalken,R,193.0,NED,27.324,18.0,1445.0,M535,5.0,,Felix Mantilla,R,180.0,ESP,29.284,22.0,1265.0,6-2 5-7 7-6(6),3,QF,152.0,4.0,0.0,95.0,76.0,57.0,13.0,16.0,1.0,3.0,2.0,4.0,104.0,49.0,32.0,33.0,16.0,2.0,5.0,2004,schalken,mantilla,QF,2004,TATA Open,1.444,2.625,1.552,2.63,,,,,,,0.628885700621712,0.3711142993782879,0.6451216515114279,,,,-0.527439424428646,-0.5976638555729527
2004-891,Chennai,Hard,32.0,250,O,2004-01-05,25.0,M605,1.0,,Carlos Moya,R,191.0,ESP,27.357,7.0,2280.0,A356,,,Thierry Ascione,R,188.0,FRA,22.965,102.0,383.0,6-4 6-4,3,QF,69.0,7.0,1.0,45.0,23.0,22.0,18.0,10.0,0.0,0.0,2.0,1.0,79.0,51.0,32.0,16.0,10.0,5.0,7.0,2004,moya,ascione,QF,2004,TATA Open,1.222,4.0,1.278,4.1,,,,,,,0.7623651915210116,0.2376348084789885,0.7659900421294522,,,,-1.165690617754919,-1.185805500370487
2004-7308,Adelaide,Hard,32.0,250,O,2004-01-05,5.0,S681,,,Cyril Saulnier,R,183.0,FRA,28.389,86.0,423.0,G569,4.0,,Robby Ginepri,R,183.0,USA,21.246,32.0,1055.0,6-3 6-4,3,R32,66.0,1.0,1.0,59.0,34.0,26.0,16.0,10.0,2.0,2.0,3.0,2.0,57.0,39.0,27.0,8.0,9.0,2.0,4.0,2004,saulnier,ginepri,R2,2004,Siebel Open,2.375,1.533,2.8,1.488,,,,,,,0.3470149253731344,0.6529850746268657,0.3922722620266121,,,,0.6321864807702581,0.43777083759692753
2004-451,Doha,Hard,32.0,250,O,2004-01-05,16.0,Y061,,,Mikhail Youzhny,R,183.0,RUS,21.53,43.0,840.0,S636,2.0,,Rainer Schuettler,R,180.0,GER,27.696,6.0,3205.0,6-3 7-6(5),3,R32,110.0,6.0,0.0,67.0,40.0,30.0,14.0,10.0,3.0,4.0,0.0,0.0,85.0,57.0,32.0,15.0,11.0,9.0,12.0,2004,youzhny,schuettler,R2,2004,China Open,,,1.98,1.847,,,,,,,0.48262346485497776,0.5173765351450221,,,,,0.06953414348934091,
2004-7308,Adelaide,Hard,32.0,250,O,2004-01-05,11.0,J129,,WC,Thomas Johansson,R,180.0,SWE,28.786,,,R336,,,Christophe Rochus,R,170.0,BEL,25.057,84.0,436.0,6-1 6-3,3,R32,53.0,5.0,0.0,40.0,21.0,19.0,14.0,8.0,0.0,0.0,3.0,3.0,45.0,23.0,15.0,8.0,8.0,3.0,7.0,2004,johansson,rochus,R2,2004,Nottingham Open,1.4,2.75,1.5,2.75,,,,,,,0.6470588235294118,0.35294117647058826,0.6626506024096386,,,,-0.6061358035703156,-0.6751286750572671
2004-7308,Adelaide,Hard,32.0,250,O,2004-01-05,25.0,N289,6.0,,Jarkko Nieminen,L,185.0,FIN,22.453,36.0,980.0,R583,,WC,Todd Reid,R,180.0,AUS,19.589,243.0,145.0,6-2 7-5,3,QF,81.0,3.0,1.0,52.0,35.0,28.0,10.0,10.0,0.0,1.0,2.0,1.0,84.0,61.0,32.0,12.0,10.0,8.0,12.0,2004,nieminen,reid,QF,2004,AAPT Championships,1.667,2.1,1.658,2.36,,,,,,,0.5873568939771031,0.412643106022897,0.5574727900185825,,,,-0.35304956232441553,-0.23091174096072045
2004-451,Doha,Hard,32.0,250,O,2004-01-05,13.0,H336,7.0,,Tim Henman,R,185.0,GBR,29.331,15.0,1480.0,S677,,,David Sanchez,R,183.0,ESP,25.711,50.0,736.0,6-4 6-0,3,R32,75.0,3.0,1.0,47.0,31.0,23.0,9.0,8.0,1.0,2.0,0.0,0.0,66.0,38.0,18.0,10.0,8.0,10.0,15.0,2004,henman,sanchez,R2,2004,Monte Carlo Masters,1.615,2.2,1.714,2.23,,,,,,,0.5654158215010142,0.43458417849898584,0.5766710353866317,,,,-0.26317176529643943,-0.3091224036896504
2004-7308,Adelaide,Hard,32.0,250,O,2004-01-05,31.0,H377,,,Dominik Hrbaty,R,180.0,SVK,26.001,61.0,584.0,L428,,Q,Michael Llodra,L,191.0,FRA,23.633,173.0,214.0,6-4 6-0,3,F,57.0,3.0,2.0,52.0,35.0,24.0,11.0,8.0,8.0,9.0,2.0,2.0,59.0,38.0,19.0,8.0,8.0,9.0,14.0,2004,hrbaty,llodra,F,2004,AAPT Championships,1.727,2.0,1.725,2.2,,,,,,,0.5605095541401275,0.4394904458598726,0.5366246310705661,,,,-0.24323030988094713,-0.1467613813954037
2004-7308,Adelaide,Hard,32.0,250,O,2004-01-05,30.0,L428,,Q,Michael Llodra,L,191.0,FRA,23.633,173.0,214.0,D362,5.0,,Taylor Dent,R,188.0,USA,22.7,33.0,1045.0,6-3 7-5,3,SF,67.0,5.0,1.0,58.0,41.0,33.0,8.0,11.0,2.0,4.0,6.0,5.0,63.0,29.0,20.0,14.0,10.0,3.0,7.0,2004,llodra,dent,SF,2004,AAPT Championships,3.0,1.333,3.26,1.383,,,,,,,0.2978677579151411,0.7021322420848589,0.30763904915762746,,,,0.857472142695995,0.8111802474715382
